source,target
10,P11245
10,A4Z6T7
100,P00813
100,A0A0S2Z381
100,F5GWI4
1000,P19022
1000,A0A024RC42
1000,C9J126
100008586,O76087
100008586,P0CL80
100008586,P0CL81
100008586,P0CL82
10003,Q9Y3Q0
10003,J3KNJ3
100037417,A0A0F7RPW6
100037417,A6NHG4
100037417,B5MC82
10006,A0A0A0MRT6
10006,B6VEX3
10006,B6VEX4
10006,Q8IZP0
10006,B6VEX5
10007,P46926
1001,P22223
1001,B4DLF0
10010,Q92844
10010,B2R7S3
10010,Q6NW12
100128124,Q9UM08
100129128,Q5JSQ8
100129271,Q5T750
10013,Q9UBN7
10013,A0A024QZ26
10013,Q9BRX7
10013,B4DZH6
10013,Q9NSW6
100130086,A0A140VK21
100130086,Q9UBD0
100132399,A1L429
100133941,P25063
100137047,P0C870
100137049,P0C869
10017,Q9HD36
10017,H0YMD5
10018,O43521
10018,A0A0A0MRE7
10018,A0A0C4DH20
10019,F5GYM4
10019,Q9UQQ2
10019,B7Z7K6
10019,Q59H48
10019,Q96BA5
1002,P55283
10020,Q9Y223
10022,Q9Y5Q6
10024,F8W130
10024,Q12815
10025,Q9Y2X0
100271849,A0A024R7K5
100271849,Q02080
100272147,P56277
10036,Q13111
10038,Q9UGN5
1004,P55285
10043,O60784
10043,B3KUF5
10046,Q13495
10046,A0A804HJD4
10046,A0A804HKM8
10047,A0A384MDQ4
10047,O60676
10048,A0A024QZW3
10048,Q96S59
10049,O75190
10049,A0A0J9YX62
1005,F5H5X9
1005,Q9ULB5
1005,Q8IY78
10050,A0A024R013
10050,Q9Y2C5
10051,E9PD53
10051,Q9NTJ3
10051,B3KXX5
10051,Q58F29
10052,A0A654IDC0
10052,P36383
10054,Q9UBT2
10055,Q9UBE0
10055,A0A024R0R4
10058,Q9NP58
1006,P55286
10060,O60706
10060,A0A024RAV7
10061,A0A090N7X1
10061,Q9UG63
10067,O14828
10069,P57060
1007,Q9ULB4
10073,O95149
10076,Q92729
10077,Q96QS1
10078,Q9Y5U2
1008,Q9Y6N8
1008,X5D8X5
1008,X5DNG6
10083,A0A0S2Z4U9
10083,A0A0S2Z4V1
10083,Q9Y6N9
10085,O43854
10086,C9JL84
10089,A0A024R5B0
10089,A0A024R5F5
